4OR-A Quarterly Journal of Operations Research,管理科学 ,4区,OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;1区;3区;4区,否,否,管理学 ,4区,OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;1区;3区;4区,否,否
JOURNAL OF HIGH ENERGY PHYSICS,物理 ,1区,PHYSICS& PARTICLES & FIELDS;物理：粒子与场物理;2区;1区;1区,是,否,物理与天体物理 ,1区,PHYSICS& PARTICLES & FIELDS;物理：粒子与场物理;2区;1区;1区,是,否
JOURNAL OF HIGH SPEED NETWORKS,
JOURNAL OF HISTOCHEMISTRY & CYTOCHEMISTRY,生物 ,3区,CELL BIOLOGY;细胞生物学;2区;4区;4区,否,否,生物学 ,4区,CELL BIOLOGY;细胞生物学;2区;4区;4区,否,否
JOURNAL OF HISTOTECHNOLOGY,生物 ,4区,CELL BIOLOGY;细胞生物学;4区;2区;4区,否,否,生物学 ,4区,CELL BIOLOGY;细胞生物学;4区;2区;4区,否,否
JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY,农林科学 ,4区,HORTICULTURE;园艺;2区;3区;4区,否,否,农林科学 ,4区,HORTICULTURE;园艺;2区;3区;4区,否,否
Journal of Hospice & Palliative Nursing,医学 ,4区,NURSING;护理;1区;2区;4区,否,否,医学 ,4区,NURSING;护理;1区;2区;4区,否,否
JOURNAL OF HOSPITAL INFECTION,医学 ,3区,INFECTIOUS DISEASES;传染病学;3区;3区;3区;PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;4区;1区;2区,否,否,医学 ,2区,INFECTIOUS DISEASES;传染病学;3区;3区;3区;PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;4区;1区;2区,否,否
Journal of Hospital Medicine,医学 ,4区,MEDICINE& GENERAL & INTERNAL;医学：内科;2区;3区;3区,否,否,医学 ,3区,MEDICINE& GENERAL & INTERNAL;医学：内科;2区;3区;3区,否,否
Journal of Huazhong University of Science and Technology-Medical Sciences,
JOURNAL OF HUMAN EVOLUTION,地学 ,2区,EVOLUTIONARY BIOLOGY;进化生物学;3区;2区;3区,否,否,法学 ,1区,EVOLUTIONARY BIOLOGY;进化生物学;3区;2区;3区,是,否
JOURNAL OF HUMAN GENETICS,生物 ,3区,GENETICS & HEREDITY;遗传学;3区;4区;3区,否,否,生物学 ,2区,GENETICS & HEREDITY;遗传学;3区;4区;3区,否,否
JOURNAL OF HUMAN HYPERTENSION,医学 ,3区,PERIPHERAL VASCULAR DISEASE;外周血管病;2区;3区;4区,否,否,医学 ,4区,PERIPHERAL VASCULAR DISEASE;外周血管病;2区;3区;4区,否,否
Journal of Human Kinetics,医学 ,4区,SPORT SCIENCES;运动科学;4区;3区;4区,否,否,医学 ,4区,SPORT SCIENCES;运动科学;4区;3区;4区,否,否
JOURNAL OF HUMAN LACTATION,医学 ,4区,NURSING;护理;2区;2区;2区;OBSTETRICS & GYNECOLOGY;妇产科学;4区;4区;3区;PEDIATRICS;儿科;3区;2区;3区,否,否,医学 ,3区,NURSING;护理;2区;2区;2区;OBSTETRICS & GYNECOLOGY;妇产科学;4区;4区;3区;PEDIATRICS;儿科;3区;2区;3区,否,否
JOURNAL OF HUMAN MOVEMENT STUDIES,
JOURNAL OF HUMAN NUTRITION AND DIETETICS,医学 ,3区,NUTRITION & DIETETICS;营养学;2区;1区;3区,否,否,医学 ,3区,NUTRITION & DIETETICS;营养学;2区;1区;3区,否,否
JOURNAL OF HYDRAULIC ENGINEERING,工程技术 ,3区,ENGINEERING& CIVIL;工程：土木;2区;3区;3区;ENGINEERING& MECHANICAL;工程：机械;4区;1区;3区;WATER RESOURCES;水资源;3区;1区;3区,否,否,工程技术 ,3区,ENGINEERING& CIVIL;工程：土木;2区;3区;3区;ENGINEERING& MECHANICAL;工程：机械;4区;1区;3区;WATER RESOURCES;水资源;3区;1区;3区,否,否
JOURNAL OF HYDRAULIC RESEARCH,工程技术 ,3区,ENGINEERING& CIVIL;工程：土木;3区;2区;3区;WATER RESOURCES;水资源;2区;1区;3区,否,否,工程技术 ,2区,ENGINEERING& CIVIL;工程：土木;3区;2区;3区;WATER RESOURCES;水资源;2区;1区;3区,否,否
Journal of Hydrodynamics,工程技术 ,3区,MECHANICS;力学;4区;3区;3区,否,否,工程技术 ,3区,MECHANICS;力学;4区;3区;3区,否,否
JOURNAL OF HYDROINFORMATICS,工程技术 ,4区,COMPUTER SCIENCE& INTERDISCIPLINARY APPLICATIONS;计算机：跨学科应用;4区;1区;4区;ENGINEERING& CIVIL;工程：土木;4区;3区;3区;ENVIRONMENTAL SCIENCES;环境科学;1区;4区;4区;WATER RESOURCES;水资源;1区;3区;4区,否,否,工程技术 ,3区,COMPUTER SCIENCE& INTERDISCIPLINARY APPLICATIONS;计算机：跨学科应用;4区;1区;4区;ENGINEERING& CIVIL;工程：土木;4区;3区;3区;ENVIRONMENTAL SCIENCES;环境科学;1区;4区;4区;WATER RESOURCES;水资源;1区;3区;4区,否,否
JOURNAL OF HYDROLOGIC ENGINEERING,工程技术 ,4区,ENGINEERING& CIVIL;工程：土木;2区;3区;4区;ENVIRONMENTAL SCIENCES;环境科学;4区;4区;4区;WATER RESOURCES;水资源;1区;3区;4区,否,否,工程技术 ,4区,ENGINEERING& CIVIL;工程：土木;2区;3区;4区;ENVIRONMENTAL SCIENCES;环境科学;4区;4区;4区;WATER RESOURCES;水资源;1区;3区;4区,否,否
JOURNAL OF HYDROLOGY,经LetPub修改润色后发表在《J HYDROL》上，作者来信感谢的范例---1篇,LetPub助力作者发表在《J HYDROL》上的文章案例，致谢部分提及LetPub---2篇,地学 ,2区,ENGINEERING& CIVIL;工程：土木;1区;3区;1区;GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;2区;4区;2区;WATER RESOURCES;水资源;4区;2区;2区,是,否,地球科学 ,1区,ENGINEERING& CIVIL;工程：土木;1区;3区;1区;GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;2区;4区;2区;WATER RESOURCES;水资源;4区;2区;2区,是,否
Journal of Hydrology and Hydromechanics,环境科学与生态学 ,4区,WATER RESOURCES;水资源;3区;3区;4区,否,否,环境科学与生态学 ,3区,WATER RESOURCES;水资源;3区;3区;4区,否,否
JOURNAL OF HYDROMETEOROLOGY,期刊J HYDROMETEOROL推荐LetPub的编辑服务,地学 ,2区,METEOROLOGY & ATMOSPHERIC SCIENCES;气象与大气科学;1区;4区;2区,否,否,地球科学 ,2区,METEOROLOGY & ATMOSPHERIC SCIENCES;气象与大气科学;1区;4区;2区,否,否
JOURNAL OF HYGIENE,
JOURNAL OF HYMENOPTERA RESEARCH,农林科学 ,4区,ENTOMOLOGY;昆虫学;2区;2区;4区,否,否,农林科学 ,3区,ENTOMOLOGY;昆虫学;2区;2区;4区,否,否
Journal of Hyperbolic Differential Equations,数学 ,4区,MATHEMATICS& APPLIED;应用数学;1区;4区;4区;PHYSICS& MATHEMATICAL;物理：数学物理;3区;2区;4区,否,否,数学 ,4区,MATHEMATICS& APPLIED;应用数学;1区;4区;4区;PHYSICS& MATHEMATICAL;物理：数学物理;3区;2区;4区,否,否
JOURNAL OF HYPERTENSION,医学 ,2区,PERIPHERAL VASCULAR DISEASE;外周血管病;3区;4区;2区,否,否,医学 ,2区,PERIPHERAL VASCULAR DISEASE;外周血管病;3区;4区;2区,否,否
JOURNAL OF IBERIAN GEOLOGY,地学 ,4区,GEOLOGY;地质学;4区;2区;3区,否,否,地球科学 ,4区,GEOLOGY;地质学;4区;2区;3区,否,否
JOURNAL OF IMAGING SCIENCE AND TECHNOLOGY,工程技术 ,4区,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY;成像科学与照相技术;2区;1区;4区,否,否,计算机科学 ,4区,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY;成像科学与照相技术;2区;1区;4区,否,否
JOURNAL OF IMMUNOASSAY & IMMUNOCHEMISTRY,
JOURNAL OF IMMUNOLOGICAL METHODS,医学 ,4区,BIOCHEMICAL RESEARCH METHODS;生化研究方法;2区;4区;4区;IMMUNOLOGY;免疫学;4区;1区;4区,否,否,医学 ,4区,BIOCHEMICAL RESEARCH METHODS;生化研究方法;2区;4区;4区;IMMUNOLOGY;免疫学;4区;1区;4区,否,否
JOURNAL OF IMMUNOLOGY,医学 ,2区,IMMUNOLOGY;免疫学;1区;3区;2区,是,否,医学 ,2区,IMMUNOLOGY;免疫学;1区;3区;2区,是,否
JOURNAL OF IMMUNOLOGY VIRUS-RESEARCH & EXPERIMENTAL CHEMOTHERAPY,
JOURNAL OF IMMUNOTHERAPY,医学 ,2区,IMMUNOLOGY;免疫学;2区;3区;3区;MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;4区;1区;3区;ONCOLOGY;肿瘤学;1区;3区;3区,否,否,医学 ,3区,IMMUNOLOGY;免疫学;2区;3区;3区;MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;4区;1区;3区;ONCOLOGY;肿瘤学;1区;3区;3区,否,否
Journal of Immunotoxicology,医学 ,4区,TOXICOLOGY;毒理学;3区;4区;4区,否,否,医学 ,4区,TOXICOLOGY;毒理学;3区;4区;4区,否,否
JOURNAL OF INCLUSION PHENOMENA AND MACROCYCLIC CHEMISTRY,化学 ,4区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;2区;1区;4区,否,否,化学 ,4区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;2区;1区;4区,否,否
JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,工程技术 ,2区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;2区;4区;3区;ENGINEERING& CHEMICAL;工程：化工;1区;1区;2区,否,否,工程技术 ,2区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;2区;4区;3区;ENGINEERING& CHEMICAL;工程：化工;1区;1区;2区,否,否
JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY-US,
Journal of Industrial and Management Optimization,管理科学 ,4区,ENGINEERING& MULTIDISCIPLINARY;工程：综合;4区;4区;4区;MATHEMATICS& INTERDISCIPLINARY APPLICATIONS;数学跨学科应用;4区;1区;4区;OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;3区;2区;4区,否,否,工程技术 ,4区,ENGINEERING& MULTIDISCIPLINARY;工程：综合;4区;4区;4区;MATHEMATICS& INTERDISCIPLINARY APPLICATIONS;数学跨学科应用;4区;1区;4区;OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;3区;2区;4区,否,否
JOURNAL OF INDUSTRIAL ECOLOGY,环境科学与生态学 ,2区,ENGINEERING& ENVIRONMENTAL;工程：环境;4区;2区;3区;ENVIRONMENTAL SCIENCES;环境科学;1区;4区;2区;GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;绿色可持续发展技术;1区;3区;3区,否,否,环境科学与生态学 ,3区,ENGINEERING& ENVIRONMENTAL;工程：环境;4区;2区;3区;ENVIRONMENTAL SCIENCES;环境科学;1区;4区;2区;GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;绿色可持续发展技术;1区;3区;3区,否,否
JOURNAL OF INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY,工程技术 ,3区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;4区;3区;3区,否,否,工程技术 ,3区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;4区;3区;3区,否,否
Journal of Industrial Textiles,工程技术 ,4区,MATERIALS SCIENCE& TEXTILES;材料科学：纺织;2区;2区;2区,否,否,材料科学 ,3区,MATERIALS SCIENCE& TEXTILES;材料科学：纺织;2区;2区;2区,否,否
JOURNAL OF INEQUALITIES AND APPLICATIONS,数学 ,3区,MATHEMATICS;数学;1区;1区;3区;MATHEMATICS& APPLIED;应用数学;1区;3区;4区,否,否,数学 ,4区,MATHEMATICS;数学;1区;1区;3区;MATHEMATICS& APPLIED;应用数学;1区;3区;4区,否,否
JOURNAL OF INFECTION,医学 ,2区,INFECTIOUS DISEASES;传染病学;2区;3区;2区,否,否,医学 ,2区,INFECTIOUS DISEASES;传染病学;2区;3区;2区,否,否
JOURNAL OF INFECTION AND CHEMOTHERAPY,医学 ,4区,INFECTIOUS DISEASES;传染病学;1区;2区;4区;PHARMACOLOGY & PHARMACY;药学;2区;4区;4区,否,否,医学 ,4区,INFECTIOUS DISEASES;传染病学;1区;2区;4区;PHARMACOLOGY & PHARMACY;药学;2区;4区;4区,否,否
JOURNAL OF INFECTIOUS DISEASES,期刊JOURNAL OF INFECTIOUS DISEASES推荐LetPub的编辑服务,医学 ,2区,IMMUNOLOGY;免疫学;2区;1区;2区;INFECTIOUS DISEASES;传染病学;3区;3区;2区;MICROBIOLOGY;微生物学;2区;1区;2区,是,否,医学 ,2区,IMMUNOLOGY;免疫学;2区;1区;2区;INFECTIOUS DISEASES;传染病学;3区;3区;2区;MICROBIOLOGY;微生物学;2区;1区;2区,是,否
Journal of Inflammation-London,LetPub助力作者发表在《J INFLAMM-LOND》上的文章案例，致谢部分提及LetPub---1篇,医学 ,3区,IMMUNOLOGY;免疫学;1区;3区;4区,否,否,医学 ,3区,IMMUNOLOGY;免疫学;1区;3区;4区,否,否
JOURNAL OF INFORMATION SCIENCE,工程技术 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;2区;2区;4区,否,否,计算机科学 ,2区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;2区;2区;4区,否,否
JOURNAL OF INFORMATION SCIENCE AND ENGINEERING,工程技术 ,4区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;4区;4区;4区,否,否,计算机科学 ,4区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;4区;4区;4区,否,否
JOURNAL OF INFORMATION TECHNOLOGY,管理科学 ,2区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;2区;4区;2区,否,否,管理学 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;2区;4区;2区,否,否
JOURNAL OF INFRARED AND MILLIMETER WAVES,物理 ,3区,OPTICS;光学;4区;3区;3区,否,否,物理与天体物理 ,3区,OPTICS;光学;4区;3区;3区,否,否
Journal of Infrared Millimeter and Terahertz Waves,工程技术 ,3区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;2区;4区;4区;OPTICS;光学;2区;1区;3区;PHYSICS& APPLIED;物理：应用;3区;1区;4区,否,否,工程技术 ,3区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;2区;4区;4区;OPTICS;光学;2区;1区;3区;PHYSICS& APPLIED;物理：应用;3区;1区;4区,否,否
Journal of Infrastructure Systems,工程技术 ,4区,ENGINEERING& CIVIL;工程：土木;3区;2区;4区,否,否,工程技术 ,4区,ENGINEERING& CIVIL;工程：土木;3区;2区;4区,否,否
JOURNAL OF INHERITED METABOLIC DISEASE,医学 ,2区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;3区;4区;2区;GENETICS & HEREDITY;遗传学;3区;3区;2区;MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;4区;4区;2区,否,否,医学 ,2区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;3区;4区;2区;GENETICS & HEREDITY;遗传学;3区;3区;2区;MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;4区;4区;2区,否,否
Journal of Innate Immunity,医学 ,2区,IMMUNOLOGY;免疫学;3区;1区;3区,否,否,医学 ,2区,IMMUNOLOGY;免疫学;3区;1区;3区,否,否
Journal of Inorganic and Organometallic Polymers and Materials,近期经LetPub修改且发表在《J INORG ORGANOMET P》的范例,化学 ,4区,POLYMER SCIENCE;高分子科学;4区;4区;4区,否,否,化学 ,4区,POLYMER SCIENCE;高分子科学;4区;4区;4区,否,否
JOURNAL OF INORGANIC BIOCHEMISTRY,生物 ,3区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;4区;2区;3区;CHEMISTRY& INORGANIC & NUCLEAR;无机化学与核化学;2区;3区;2区,否,否,生物学 ,2区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;4区;2区;3区;CHEMISTRY& INORGANIC & NUCLEAR;无机化学与核化学;2区;3区;2区,是,否
JOURNAL OF INORGANIC MATERIALS,近期发表在《JOURNAL OF INORGANIC MATERIALS》的范例,工程技术 ,4区,MATERIALS SCIENCE& CERAMICS;材料科学：硅酸盐;2区;2区;4区,否,否,材料科学 ,4区,MATERIALS SCIENCE& CERAMICS;材料科学：硅酸盐;2区;2区;4区,否,否
JOURNAL OF INSECT BEHAVIOR,农林科学 ,4区,ENTOMOLOGY;昆虫学;3区;2区;4区,否,否,农林科学 ,3区,ENTOMOLOGY;昆虫学;3区;2区;4区,否,否
JOURNAL OF INSECT CONSERVATION,农林科学 ,3区,ENTOMOLOGY;昆虫学;3区;2区;3区,否,否,农林科学 ,3区,ENTOMOLOGY;昆虫学;3区;2区;3区,否,否
JOURNAL OF INSECT PHYSIOLOGY,农林科学 ,2区,ENTOMOLOGY;昆虫学;1区;4区;2区;PHYSIOLOGY;生理学;1区;3区;3区,否,否,农林科学 ,2区,ENTOMOLOGY;昆虫学;1区;4区;2区;PHYSIOLOGY;生理学;1区;3区;3区,否,否
JOURNAL OF INSECT SCIENCE,期刊JOURNAL OF INSECT SCIENCE推荐LetPub的编辑服务,LetPub助力作者发表在《J INSECT SCI》上的文章案例，致谢部分提及LetPub---3篇,农林科学 ,3区,ENTOMOLOGY;昆虫学;4区;2区;3区,否,否,农林科学 ,3区,ENTOMOLOGY;昆虫学;4区;2区;3区,否,否
Journal of Instrumentation,工程技术 ,4区,INSTRUMENTS & INSTRUMENTATION;仪器仪表;4区;1区;4区,否,否,工程技术 ,3区,INSTRUMENTS & INSTRUMENTATION;仪器仪表;4区;1区;4区,否,否
Journal of Integral Equations and Applications,数学 ,4区,MATHEMATICS;数学;2区;3区;3区;MATHEMATICS& APPLIED;应用数学;4区;4区;4区,否,否,数学 ,4区,MATHEMATICS;数学;2区;3区;3区;MATHEMATICS& APPLIED;应用数学;4区;4区;4区,否,否
Journal of Integrative Neuroscience,医学 ,4区,NEUROSCIENCES;神经科学;2区;4区;4区,否,否,医学 ,4区,NEUROSCIENCES;神经科学;2区;4区;4区,否,否
Journal of Integrative Plant Biology,生物 ,1区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;2区;1区;2区;PLANT SCIENCES;植物科学;2区;4区;1区,是,否,生物学 ,1区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;2区;1区;2区;PLANT SCIENCES;植物科学;2区;4区;1区,是,否
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,工程技术 ,4区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;2区;4区;4区,否,否,计算机科学 ,4区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;2区;4区;4区,否,否
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,工程技术 ,4区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;3区;1区;4区;ROBOTICS;机器人学;3区;4区;4区,否,否,计算机科学 ,3区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;3区;1区;4区;ROBOTICS;机器人学;3区;4区;4区,否,否
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,工程技术 ,4区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;4区;4区;4区;COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;3区;4区;4区,否,否,计算机科学 ,4区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;4区;4区;4区;COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;3区;4区;4区,否,否
JOURNAL OF INTELLIGENT MANUFACTURING,工程技术 ,2区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;1区;4区;3区;ENGINEERING& MANUFACTURING;工程：制造;4区;2区;2区,否,否,工程技术 ,2区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;1区;4区;3区;ENGINEERING& MANUFACTURING;工程：制造;4区;2区;2区,否,否
JOURNAL OF INTELLIGENT MATERIAL SYSTEMS AND STRUCTURES,工程技术 ,3区,MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;3区;2区;3区,否,否,材料科学 ,3区,MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;3区;2区;3区,否,否
Journal of Intelligent Transportation Systems,工程技术 ,3区,TRANSPORTATION SCIENCE & TECHNOLOGY;运输科技;2区;2区;4区,否,否,工程技术 ,3区,TRANSPORTATION SCIENCE & TECHNOLOGY;运输科技;2区;2区;4区,否,否
JOURNAL OF INTERFERON AND CYTOKINE RESEARCH,医学 ,4区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;1区;1区;4区;CELL BIOLOGY;细胞生物学;1区;4区;4区;IMMUNOLOGY;免疫学;4区;2区;4区,否,否,医学 ,4区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;1区;1区;4区;CELL BIOLOGY;细胞生物学;1区;4区;4区;IMMUNOLOGY;免疫学;4区;2区;4区,否,否
JOURNAL OF INTERNAL MEDICINE,医学 ,1区,MEDICINE& GENERAL & INTERNAL;医学：内科;4区;4区;2区,是,否,医学 ,1区,MEDICINE& GENERAL & INTERNAL;医学：内科;4区;4区;2区,是,否
Journal of International Advanced Otology,医学 ,4区,OTORHINOLARYNGOLOGY;耳鼻喉科学;2区;1区;4区,否,否,医学 ,4区,OTORHINOLARYNGOLOGY;耳鼻喉科学;2区;1区;4区,否,否
JOURNAL OF INTERNATIONAL MEDICAL RESEARCH,医学 ,4区,MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;4区;3区;4区;PHARMACOLOGY & PHARMACY;药学;1区;4区;4区,否,否,医学 ,4区,MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;4区;3区;4区;PHARMACOLOGY & PHARMACY;药学;1区;4区;4区,否,否
Journal of Internet Technology,工程技术 ,4区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;3区;4区;4区;TELECOMMUNICATIONS;电信学;1区;1区;4区,否,否,计算机科学 ,4区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;3区;4区;4区;TELECOMMUNICATIONS;电信学;1区;1区;4区,否,否
Journal of Interprofessional Care,医学 ,4区,HEALTH CARE SCIENCES & SERVICES;卫生保健与服务;2区;3区;4区,否,否,医学 ,2区,HEALTH CARE SCIENCES & SERVICES;卫生保健与服务;2区;3区;4区,否,否
JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY,医学 ,4区,CARDIAC & CARDIOVASCULAR SYSTEMS;心脏和心血管系统;2区;2区;4区,否,否,医学 ,4区,CARDIAC & CARDIOVASCULAR SYSTEMS;心脏和心血管系统;2区;2区;4区,否,否
JOURNAL OF INTERVENTIONAL CARDIOLOGY,医学 ,4区,CARDIAC & CARDIOVASCULAR SYSTEMS;心脏和心血管系统;2区;1区;4区,否,否,医学 ,3区,CARDIAC & CARDIOVASCULAR SYSTEMS;心脏和心血管系统;2区;1区;4区,否,否
Journal of Inverse and Ill-Posed Problems,数学 ,3区,MATHEMATICS;数学;2区;2区;3区;MATHEMATICS& APPLIED;应用数学;3区;2区;4区,否,否,数学 ,4区,MATHEMATICS;数学;2区;2区;3区;MATHEMATICS& APPLIED;应用数学;3区;2区;4区,否,否
JOURNAL OF INVERTEBRATE PATHOLOGY,生物 ,3区,ZOOLOGY;动物学;2区;3区;2区,否,否,生物学 ,3区,ZOOLOGY;动物学;2区;3区;2区,否,否
JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,医学 ,3区,ALLERGY;过敏;1区;1区;3区;IMMUNOLOGY;免疫学;3区;1区;3区,否,否,医学 ,3区,ALLERGY;过敏;1区;1区;3区;IMMUNOLOGY;免疫学;3区;1区;3区,否,否
JOURNAL OF INVESTIGATIVE DERMATOLOGY,医学 ,2区,DERMATOLOGY;皮肤病学;4区;3区;1区,是,否,医学 ,2区,DERMATOLOGY;皮肤病学;4区;3区;1区,是,否
JOURNAL OF INVESTIGATIVE DERMATOLOGY SYMPOSIUM PROCEEDINGS,
JOURNAL OF INVESTIGATIVE MEDICINE,医学 ,4区,MEDICINE& GENERAL & INTERNAL;医学：内科;3区;3区;3区;MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;3区;2区;4区,否,否,医学 ,4区,MEDICINE& GENERAL & INTERNAL;医学：内科;3区;3区;3区;MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;3区;2区;4区,否,否
JOURNAL OF INVESTIGATIVE SURGERY,医学 ,4区,SURGERY;外科;2区;4区;4区,否,否,医学 ,4区,SURGERY;外科;2区;4区;4区,否,否
JOURNAL OF IRON AND STEEL RESEARCH INTERNATIONAL,工程技术 ,3区,METALLURGY & METALLURGICAL ENGINEERING;冶金工程;1区;1区;3区,否,否,材料科学 ,3区,METALLURGY & METALLURGICAL ENGINEERING;冶金工程;1区;1区;3区,否,否
JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,工程技术 ,4区,AGRICULTURAL ENGINEERING;农业工程;3区;4区;3区;ENGINEERING& CIVIL;工程：土木;1区;4区;3区;WATER RESOURCES;水资源;3区;1区;4区,否,否,工程技术 ,4区,AGRICULTURAL ENGINEERING;农业工程;3区;4区;3区;ENGINEERING& CIVIL;工程：土木;1区;4区;3区;WATER RESOURCES;水资源;3区;1区;4区,否,否
JOURNAL OF JAPANESE SOCIETY OF TRIBOLOGISTS,
